Country,Alcohol Consumption Per Capita,Prevalence of Alcohol Dependence,Legal Drinking Age,Alcohol Illegality
Bosnia and Herzegovina,13.4 L,3.40%,18 Years Old,No
Cuba,13.2 L,2.70%,16 Years Old,No
Costa Rica,13 L,3%,18 Years Old,No
People's Republic of China,12.9 L,2.30%,18 Years Old,No
El Salvador,12.8 L,2.70%,18 Years Old,No
Iceland,12.8 L,1.90%,20 Years Old,No
Malta,12.8 L,1.60%,17 Years Old,No
Uzbekistan,12.8 L,3.30%,20 Years Old,No
Ethiopia,12.6 L,0.80%,18 Years Old,No
Sweden,12.5 L,,18 Years Old,No
Iraq,12.4 L,0.20%,21 Years Old,No
Suriname,12.1 L,2.80%,16 Years Old,No
Italy,12 L,0.60%,18 Years Old,No
Netherlands,12 L,0.60%,18 Years Old,No
Togo,12 L,3.30%,,No
Jamaica,11.9 L,1.50%,18 Years Old,No
Peru,11.8 L,4.90%,18 Years Old,No
Benin,11.6 L,2.20%,20 Years Old,No
Mauritius,11.5 L,1.90%,18 Years Old,No
Mozambique,11.4 L,1.10%,18 Years Old,No
Bolivia,10.5 L,2.90%,18 Years Old,No
Solomon Islands,10.4 L,2.90%,21 Years Old,No
Ghana,10.2 L,1.40%,18 Years Old,No
The Bahamas,10.1 L,2.80%,18 Years Old,No
North Korea,9.6 L,1.40%,18 Years Old,No
East Timor,9.5 L,0.70%,,No
Ecuador,9.5 L,2.80%,18 Years Old,No
Norway,9.4 L,4%,18 Years Old,No
Yemen,9.4 L,,,Yes
Madagascar,9.2 L,0.90%,18 Years Old,No
Oman,9.1 L,0.30%,21 Years Old,No
Guatemala,9 L,2.80%,18 Years Old,No
Central African Republic,8.8 L,1.30%,15 Years Old,No
Papua New Guinea,8.6 L,2.90%,18 Years Old,No
Nepal,7.4 L,0.70%,18 Years Old,No
Vanuatu,7.4 L,2.90%,,No
Democratic Republic of the Congo,7.1 L,1.70%,18 Years Old,No
Israel,7 L,3.30%,18 Years Old,No
Chad,6.9 L,0.70%,16 Years Old,No
Eritrea,6.3 L,0.80%,25 Years Old,No
Guinea,5.8 L,0.70%,18 Years Old,No
Mali,5.7 L,0.70%,15 Years Old,No
Qatar,4.4 L,0.10%,19 Years Old,No
Mauritania,3.8 L,0.20%,21 Years Old,No
Saudi Arabia,3.8 L,0.20%,,Yes
Azerbaijan,3.7 L,3.40%,18 Years Old,No
Senegal,3.5 L,0.70%,18 Years Old,No
Indonesia,3.4 L,0.70%,21 Years Old,No
Malaysia,3.1 L,1.10%,18 Years Old,No
Singapore,2.9 L,0.50%,18 Years Old,No
Djibouti,2.7 L,0.20%,,No
Niger,2.5 L,0.70%,18 Years Old,No
Bhutan,1.9 L,0.80%,18 Years Old,No
Somalia,1.5 L,0.20%,,Yes
Brunei,1.3 L,0.80%,,Yes
Kuwait,1 L,0.20%,,Yes
